iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0045802,0.0001,0.0045801,2.28937e+08,2.28942e+08
2,0.0034513,0,0.0034513,3.03821e+08,3.03821e+08
3,0.0038715,0.0002,0.0038713,2.70845e+08,2.70859e+08
4,0.0033415,0.0001,0.0033414,3.13804e+08,3.13813e+08
5,0.0040631,0.0001,0.004063,2.58073e+08,2.58079e+08
6,0.0042949,0.0001,0.0042948,2.44144e+08,2.4415e+08
7,0.0037494,0.0002,0.0037492,2.79665e+08,2.7968e+08
8,0.0033911,0,0.0033911,3.09214e+08,3.09214e+08
9,0.003454,0.0001,0.0034539,3.03583e+08,3.03592e+08
10,0.0032631,0,0.0032631,3.21344e+08,3.21344e+08
11,0.003658,0.0002,0.0036578,2.86653e+08,2.86668e+08
12,0.0039415,0.0006,0.0039409,2.66035e+08,2.66075e+08
13,0.0034304,0.0001,0.0034303,3.05672e+08,3.05681e+08
14,0.0035973,0.0002,0.0035971,2.9149e+08,2.91506e+08
15,0.0038742,0.0002,0.003874,2.70656e+08,2.7067e+08
16,0.0037312,0.0001,0.0037311,2.81029e+08,2.81037e+08
