iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0014304,0.0001,0.0014303,5.72707e+06,5.72747e+06
2,0.0008202,0.0001,0.0008201,9.98781e+06,9.98903e+06
3,0.0008028,0.0001,0.0008027,1.02043e+07,1.02056e+07
4,0.000692,0,0.000692,1.18382e+07,1.18382e+07
5,0.0006605,0,0.0006605,1.24027e+07,1.24027e+07
6,0.000671,0.0001,0.0006709,1.22086e+07,1.22105e+07
7,0.0006742,0.0001,0.0006741,1.21507e+07,1.21525e+07
8,0.0006567,0.0001,0.0006566,1.24745e+07,1.24764e+07
9,0.0006438,0.0001,0.0006437,1.27244e+07,1.27264e+07
10,0.000651,0,0.000651,1.25837e+07,1.25837e+07
11,0.0006944,0,0.0006944,1.17972e+07,1.17972e+07
12,0.0006753,0,0.0006753,1.21309e+07,1.21309e+07
13,0.0006359,0,0.0006359,1.28825e+07,1.28825e+07
14,0.0006534,0.0001,0.0006533,1.25375e+07,1.25394e+07
15,0.0006915,0.0001,0.0006914,1.18467e+07,1.18484e+07
16,0.0006458,0.0001,0.0006457,1.2685e+07,1.2687e+07
