iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0017319,0.0001,0.0017318,4.73007e+06,4.73034e+06
2,0.0008352,0.0001,0.0008351,9.80843e+06,9.8096e+06
3,0.0007735,0.0001,0.0007734,1.05908e+07,1.05922e+07
4,0.0007142,0.0001,0.0007141,1.14702e+07,1.14718e+07
5,0.0006345,0.0001,0.0006344,1.2911e+07,1.2913e+07
6,0.0006638,0,0.0006638,1.23411e+07,1.23411e+07
7,0.0006739,0.0001,0.0006738,1.21561e+07,1.21579e+07
8,0.0007213,0.0001,0.0007212,1.13573e+07,1.13588e+07
9,0.0007111,0.0001,0.000711,1.15202e+07,1.15218e+07
10,0.0006774,0.0001,0.0006773,1.20933e+07,1.20951e+07
11,0.0006857,0.0001,0.0006856,1.19469e+07,1.19487e+07
12,0.000677,0,0.000677,1.21004e+07,1.21004e+07
13,0.0006615,0.0001,0.0006614,1.2384e+07,1.23858e+07
14,0.000663,0.0001,0.0006629,1.2356e+07,1.23578e+07
15,0.0006206,0,0.0006206,1.32001e+07,1.32001e+07
16,0.0006313,0.0001,0.0006312,1.29764e+07,1.29785e+07
