iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,2.75868,0.0002,2.75868,3.89223e+08,3.89223e+08
2,2.89167,0.0002,2.89167,3.71323e+08,3.71323e+08
3,2.6944,0.0002,2.6944,3.98509e+08,3.98509e+08
4,2.68027,0.0005,2.68027,4.00609e+08,4.00609e+08
5,2.70092,0.0002,2.70092,3.97547e+08,3.97547e+08
6,2.69887,0.0002,2.69887,3.97849e+08,3.97849e+08
7,2.66533,0.0002,2.66533,4.02856e+08,4.02856e+08
8,2.7061,0.0002,2.7061,3.96786e+08,3.96786e+08
9,2.66483,0.0005,2.66483,4.02931e+08,4.02931e+08
10,2.65192,0.0002,2.65192,4.04893e+08,4.04893e+08
11,2.65793,0.0002,2.65793,4.03976e+08,4.03976e+08
12,2.64952,0.0002,2.64952,4.0526e+08,4.0526e+08
13,2.67108,0.0001,2.67108,4.01988e+08,4.01988e+08
14,2.72083,0.0001,2.72083,3.94638e+08,3.94638e+08
15,2.65535,0.0006,2.65535,4.04369e+08,4.04369e+08
16,2.61915,0.0002,2.61915,4.09958e+08,4.09958e+08
