iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,2.63909,0.0001,2.63909,4.06861e+08,4.06861e+08
2,2.75447,0.0002,2.75447,3.89818e+08,3.89818e+08
3,2.76278,0.0001,2.76278,3.88645e+08,3.88645e+08
4,2.82828,0.0002,2.82828,3.79645e+08,3.79645e+08
5,2.71047,0.0002,2.71047,3.96146e+08,3.96146e+08
6,2.69648,0.0002,2.69648,3.98201e+08,3.98201e+08
7,2.70946,0.0001,2.70946,3.96294e+08,3.96294e+08
8,2.70169,0.0001,2.70169,3.97434e+08,3.97434e+08
9,2.68411,0.0002,2.68411,4.00037e+08,4.00037e+08
10,2.62183,0.0001,2.62183,4.0954e+08,4.0954e+08
11,2.64569,0.0001,2.64569,4.05845e+08,4.05845e+08
12,2.61245,0.0002,2.61245,4.1101e+08,4.1101e+08
13,2.78791,0.0002,2.78791,3.85142e+08,3.85142e+08
14,2.58265,0.0004,2.58265,4.15753e+08,4.15753e+08
15,2.62653,0.0001,2.62653,4.08806e+08,4.08806e+08
16,2.56442,0.0001,2.56442,4.18707e+08,4.18707e+08
