iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,3.3036,0.0001,3.3036,3.25021e+08,3.25021e+08
2,3.27013,0.0004,3.27013,3.28349e+08,3.28349e+08
3,3.52111,0.0002,3.52111,3.04944e+08,3.04944e+08
4,3.12619,0.0001,3.12619,3.43467e+08,3.43467e+08
5,3.04696,0.0001,3.04696,3.52398e+08,3.52398e+08
6,3.06854,0.0002,3.06854,3.49919e+08,3.49919e+08
7,3.03626,0.0001,3.03626,3.5364e+08,3.5364e+08
8,3.10649,0.0002,3.10649,3.45645e+08,3.45645e+08
9,3.02022,0.0002,3.02022,3.55518e+08,3.55518e+08
10,2.99079,0.0002,2.99079,3.59016e+08,3.59016e+08
11,2.97379,0.0002,2.97379,3.61069e+08,3.61069e+08
12,3.08956,0.0002,3.08956,3.47538e+08,3.47538e+08
13,3.08784,0.0002,3.08784,3.47732e+08,3.47732e+08
14,3.0725,0.0001,3.0725,3.49469e+08,3.49469e+08
15,3.03404,0.0001,3.03404,3.53899e+08,3.53899e+08
16,3.04333,0.0004,3.04333,3.52818e+08,3.52818e+08
