iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0173948,0.0001,0.0173947,6.0281e+07,6.02814e+07
2,0.0188873,0,0.0188873,5.55175e+07,5.55175e+07
3,0.0188893,0,0.0188893,5.55116e+07,5.55116e+07
4,0.0186211,0.0001,0.018621,5.63112e+07,5.63115e+07
5,0.0185407,0.0001,0.0185406,5.65554e+07,5.65557e+07
6,0.0187352,0,0.0187352,5.59682e+07,5.59682e+07
7,0.0180232,0.0001,0.0180231,5.81792e+07,5.81796e+07
8,0.0181579,0,0.0181579,5.77476e+07,5.77476e+07
9,0.0178977,0.0001,0.0178976,5.85872e+07,5.85875e+07
10,0.0177126,0,0.0177126,5.91994e+07,5.91994e+07
11,0.0175363,0.0001,0.0175362,5.97946e+07,5.97949e+07
12,0.017627,0.0001,0.0176269,5.94869e+07,5.94873e+07
13,0.0175492,0.0001,0.0175491,5.97506e+07,5.9751e+07
14,0.0175191,0,0.0175191,5.98533e+07,5.98533e+07
15,0.0173336,0,0.0173336,6.04938e+07,6.04938e+07
16,0.0173045,0,0.0173045,6.05956e+07,6.05956e+07
