iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0001384,0.0001,0.0001383,5.91908e+07,5.92336e+07
2,0.0001597,0.0001,0.0001596,5.12962e+07,5.13283e+07
3,0.0001474,0,0.0001474,5.55767e+07,5.55767e+07
4,0.0001536,0,0.0001536,5.33333e+07,5.33333e+07
5,0.0001443,0.0001,0.0001442,5.67706e+07,5.681e+07
6,0.0001489,0.0001,0.0001488,5.50168e+07,5.50538e+07
7,0.0001416,0.0001,0.0001415,5.78531e+07,5.7894e+07
8,0.0001481,0,0.0001481,5.5314e+07,5.5314e+07
9,0.0001407,0,0.0001407,5.82232e+07,5.82232e+07
10,0.0001447,0,0.0001447,5.66137e+07,5.66137e+07
11,0.0001399,0.0001,0.0001398,5.85561e+07,5.8598e+07
12,0.0001432,0,0.0001432,5.72067e+07,5.72067e+07
13,0.0001391,0.0001,0.000139,5.88929e+07,5.89353e+07
14,0.0001416,0.0001,0.0001415,5.78531e+07,5.7894e+07
15,0.0001416,0.0001,0.0001415,5.78531e+07,5.7894e+07
16,0.0001411,0,0.0001411,5.80581e+07,5.80581e+07
