iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0001204,0,0.0001204,6.80399e+07,6.80399e+07
2,0.000132,0.0001,0.0001319,6.20606e+07,6.21077e+07
3,0.0001322,0.0001,0.0001321,6.19667e+07,6.20136e+07
4,0.0001256,0,0.0001256,6.52229e+07,6.52229e+07
5,0.0001289,0.0001,0.0001288,6.35531e+07,6.36025e+07
6,0.0001229,0,0.0001229,6.66558e+07,6.66558e+07
7,0.0001201,0.0001,0.00012,6.82098e+07,6.82667e+07
8,0.0001207,0,0.0001207,6.78708e+07,6.78708e+07
9,0.0001193,0.0001,0.0001192,6.86672e+07,6.87248e+07
10,0.0001239,0.0001,0.0001238,6.61178e+07,6.61712e+07
11,0.000118,0,0.000118,6.94237e+07,6.94237e+07
12,0.0001222,0,0.0001222,6.70376e+07,6.70376e+07
13,0.0001176,0,0.0001176,6.96599e+07,6.96599e+07
14,0.0001157,0,0.0001157,7.08038e+07,7.08038e+07
15,0.000121,0.0001,0.0001209,6.77025e+07,6.77585e+07
16,0.0001148,0.0001,0.0001147,7.13589e+07,7.14211e+07
