iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0001379,0.0001,0.0001378,5.94054e+07,5.94485e+07
2,0.0001475,0,0.0001475,5.5539e+07,5.5539e+07
3,0.0001561,0,0.0001561,5.24792e+07,5.24792e+07
4,0.0001477,0,0.0001477,5.54638e+07,5.54638e+07
5,0.0001541,0,0.0001541,5.31603e+07,5.31603e+07
6,0.0001445,0,0.0001445,5.6692e+07,5.6692e+07
7,0.000141,0,0.000141,5.80993e+07,5.80993e+07
8,0.0001418,0,0.0001418,5.77715e+07,5.77715e+07
9,0.0001405,0,0.0001405,5.8306e+07,5.8306e+07
10,0.0001403,0,0.0001403,5.83892e+07,5.83892e+07
11,0.0001436,0.0001,0.0001435,5.70474e+07,5.70871e+07
12,0.0001392,0.0001,0.0001391,5.88506e+07,5.88929e+07
13,0.0001433,0,0.0001433,5.71668e+07,5.71668e+07
14,0.0001379,0,0.0001379,5.94054e+07,5.94054e+07
15,0.0001433,0,0.0001433,5.71668e+07,5.71668e+07
16,0.0001359,0.0001,0.0001358,6.02796e+07,6.0324e+07
