iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0044359,0.0001,0.0044358,5.9096e+07,5.90973e+07
2,0.0048532,0.0004,0.0048528,5.40147e+07,5.40191e+07
3,0.0048759,0,0.0048759,5.37632e+07,5.37632e+07
4,0.0048077,0.0001,0.0048076,5.45259e+07,5.4527e+07
5,0.0047789,0,0.0047789,5.48545e+07,5.48545e+07
6,0.0047605,0,0.0047605,5.50665e+07,5.50665e+07
7,0.0047232,0,0.0047232,5.55014e+07,5.55014e+07
8,0.0046797,0,0.0046797,5.60173e+07,5.60173e+07
9,0.0047748,0.0002,0.0047746,5.49016e+07,5.49039e+07
10,0.0046336,0.0001,0.0046335,5.65746e+07,5.65758e+07
11,0.0046618,0.0002,0.0046616,5.62324e+07,5.62348e+07
12,0.0046589,0.0001,0.0046588,5.62674e+07,5.62686e+07
13,0.0045943,0.0001,0.0045942,5.70585e+07,5.70598e+07
14,0.0045548,0.0001,0.0045547,5.75534e+07,5.75546e+07
15,0.0046979,0.0002,0.0046977,5.58003e+07,5.58026e+07
16,0.004548,0.0001,0.0045479,5.76394e+07,5.76407e+07
