iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0036871,0.0001,0.003687,7.10976e+07,7.10995e+07
2,0.0039993,0.0001,0.0039992,6.55475e+07,6.55491e+07
3,0.0039959,0.0001,0.0039958,6.56032e+07,6.56049e+07
4,0.0039355,0,0.0039355,6.66101e+07,6.66101e+07
5,0.0039383,0.0001,0.0039382,6.65627e+07,6.65644e+07
6,0.0038939,0,0.0038939,6.73217e+07,6.73217e+07
7,0.0038445,0,0.0038445,6.81868e+07,6.81868e+07
8,0.0038134,0.0001,0.0038133,6.87429e+07,6.87447e+07
9,0.0037931,0.0001,0.003793,6.91108e+07,6.91126e+07
10,0.0037704,0.0001,0.0037703,6.95268e+07,6.95287e+07
11,0.003749,0.0001,0.0037489,6.99237e+07,6.99256e+07
12,0.0037254,0.0001,0.0037253,7.03667e+07,7.03686e+07
13,0.0036968,0,0.0036968,7.09111e+07,7.09111e+07
14,0.0036516,0.0001,0.0036515,7.17888e+07,7.17908e+07
15,0.0035649,0,0.0035649,7.35347e+07,7.35347e+07
16,0.0035467,0.0001,0.0035466,7.39121e+07,7.39142e+07
