iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0002843,29.12,-0.0288357,3.68827e+09,-3.63638e+07
2,7.56e-05,28.7639,-0.0286883,1.38701e+10,-3.65506e+07
3,7.2e-05,28.5566,-0.0284846,1.45636e+10,-3.6812e+07
4,7.58e-05,29.2776,-0.0292018,1.38335e+10,-3.59079e+07
5,7.27e-05,28.8171,-0.0287444,1.44233e+10,-3.64793e+07
6,7.28e-05,28.8501,-0.0287773,1.44035e+10,-3.64376e+07
7,7.2e-05,28.3544,-0.0282824,1.45636e+10,-3.70752e+07
8,7.16e-05,29.0144,-0.0289428,1.46449e+10,-3.62293e+07
9,7.27e-05,28.6286,-0.0285559,1.44233e+10,-3.67201e+07
10,7.86e-05,28.8035,-0.0287249,1.33407e+10,-3.65041e+07
11,8.21e-05,28.6053,-0.0285232,1.27719e+10,-3.67622e+07
12,7.6e-05,28.2961,-0.0282201,1.37971e+10,-3.71571e+07
13,8.95e-05,29.235,-0.0291455,1.17159e+10,-3.59773e+07
14,9.73e-05,28.6657,-0.0285684,1.07767e+10,-3.67041e+07
15,7.13e-05,28.7138,-0.0286425,1.47065e+10,-3.66091e+07
16,7.58e-05,28.9147,-0.0288389,1.38335e+10,-3.63598e+07
