iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0004108,0.5548,-0.000144,2.55252e+09,-7.28178e+09
2,6.25e-05,0.5423,-0.0004798,1.67772e+10,-2.18544e+09
3,6.06e-05,0.5206,-0.00046,1.73032e+10,-2.27951e+09
4,6.82e-05,0.5156,-0.0004474,1.5375e+10,-2.34371e+09
5,5.91e-05,0.5181,-0.000459,1.77424e+10,-2.28448e+09
6,6.2e-05,0.5114,-0.0004494,1.69125e+10,-2.33328e+09
7,5.91e-05,0.5183,-0.0004592,1.77424e+10,-2.28348e+09
8,5.96e-05,0.5145,-0.0004549,1.75936e+10,-2.30507e+09
9,5.96e-05,0.5111,-0.0004515,1.75936e+10,-2.32243e+09
10,6.46e-05,0.5139,-0.0004493,1.62318e+10,-2.3338e+09
11,5.96e-05,0.5188,-0.0004592,1.75936e+10,-2.28348e+09
12,5.99e-05,0.5262,-0.0004663,1.75054e+10,-2.24872e+09
13,5.96e-05,0.5179,-0.0004583,1.75936e+10,-2.28797e+09
14,5.89e-05,0.5343,-0.0004754,1.78026e+10,-2.20567e+09
15,5.98e-05,0.5253,-0.0004655,1.75347e+10,-2.25258e+09
16,5.85e-05,0.53,-0.0004715,1.79244e+10,-2.22392e+09
