iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0005877,0.6134,-2.57e-05,1.7842e+09,-4.08006e+10
2,8.52e-05,0.5915,-0.0005063,1.23072e+10,-2.07106e+09
3,8.09e-05,0.5837,-0.0005028,1.29614e+10,-2.08547e+09
4,8.11e-05,0.6071,-0.000526,1.29294e+10,-1.99349e+09
5,9.46e-05,0.6,-0.0005054,1.10843e+10,-2.07474e+09
6,5.21e-05,0.6037,-0.0005516,2.01262e+10,-1.90097e+09
7,8.17e-05,0.6152,-0.0005335,1.28345e+10,-1.96547e+09
8,8.07e-05,0.585,-0.0005043,1.29935e+10,-2.07927e+09
9,8.45e-05,0.5806,-0.0004961,1.24092e+10,-2.11364e+09
10,5.2e-05,0.5779,-0.0005259,2.01649e+10,-1.99387e+09
11,8.8e-05,0.5755,-0.0004875,1.19156e+10,-2.15093e+09
12,8.01e-05,0.5753,-0.0004952,1.30908e+10,-2.11748e+09
13,5.15e-05,0.5785,-0.000527,2.03607e+10,-1.98971e+09
14,5.19e-05,0.6054,-0.0005535,2.02038e+10,-1.89445e+09
15,8.1e-05,0.572,-0.000491,1.29454e+10,-2.13559e+09
16,8.14e-05,0.5726,-0.0004912,1.28818e+10,-2.13472e+09
