iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.812706,764.744,0.0479615,1.32119e+09,2.23876e+10
2,0.782737,757.195,0.0255422,1.37178e+09,4.2038e+10
3,0.806871,781.299,0.0255716,1.33075e+09,4.19896e+10
4,0.833801,802.764,0.0310371,1.28777e+09,3.45954e+10
5,0.866666,748.273,0.118394,1.23893e+09,9.06925e+09
6,0.762527,744.284,0.0182432,1.40814e+09,5.88571e+10
7,0.766219,748.05,0.0181691,1.40135e+09,5.90971e+10
8,0.779514,757.6,0.0219139,1.37745e+09,4.89982e+10
9,0.785879,761.782,0.0240972,1.36629e+09,4.45588e+10
10,0.79658,770.727,0.0258529,1.34794e+09,4.15327e+10
11,0.807139,779.119,0.02802,1.33031e+09,3.83206e+10
12,0.817804,786.73,0.0310735,1.31296e+09,3.45549e+10
13,0.828019,794.181,0.0338377,1.29676e+09,3.17321e+10
14,0.868393,750.04,0.118352,1.23647e+09,9.07241e+09
15,0.755817,736.429,0.019388,1.42064e+09,5.53818e+10
16,0.768641,748.866,0.0197748,1.39694e+09,5.42985e+10
