iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0590877,1418.05,-1.35896,1.8172e+10,-7.90118e+08
2,0.0447391,1400.87,-1.35613,2.40001e+10,-7.91769e+08
3,0.0403442,1397.61,-1.35726,2.66145e+10,-7.91108e+08
4,0.0383829,1394.65,-1.35626,2.79745e+10,-7.91692e+08
5,0.0384024,1395.3,-1.3569,2.79603e+10,-7.91319e+08
6,0.0383753,1396.72,-1.35834,2.798e+10,-7.9048e+08
7,0.0384068,1402.25,-1.36385,2.79571e+10,-7.8729e+08
8,0.0434979,1397.43,-1.35393,2.46849e+10,-7.93057e+08
9,0.0396271,1394.56,-1.35493,2.70961e+10,-7.92468e+08
10,0.0385037,1469.16,-1.43066,2.78867e+10,-7.50524e+08
11,0.0517683,1485.27,-1.4335,2.07413e+10,-7.49034e+08
12,0.0476917,1469.26,-1.42157,2.25142e+10,-7.5532e+08
13,0.0430198,1457.62,-1.4146,2.49592e+10,-7.59042e+08
14,0.0397914,1443.15,-1.40336,2.69843e+10,-7.65122e+08
15,0.038364,1445.04,-1.40667,2.79883e+10,-7.63321e+08
16,0.0385193,1445.77,-1.40725,2.78754e+10,-7.63009e+08
