iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.869715,750.466,0.11925,1.23459e+09,9.00415e+09
2,0.765319,743.94,0.0213786,1.403e+09,5.02251e+10
3,0.807943,786.536,0.0214074,1.32898e+09,5.01575e+10
4,0.782447,756.984,0.0254636,1.37229e+09,4.21677e+10
5,0.78859,759.094,0.0294966,1.3616e+09,3.64022e+10
6,0.800832,770.587,0.0302449,1.34078e+09,3.55016e+10
7,0.809541,776.611,0.0329295,1.32636e+09,3.26073e+10
8,0.830368,794.814,0.035554,1.29309e+09,3.02003e+10
9,0.822615,787.696,0.034919,1.30528e+09,3.07495e+10
10,0.823273,786.026,0.0372467,1.30424e+09,2.88278e+10
11,0.812734,778.675,0.0340585,1.32115e+09,3.15264e+10
12,0.810791,776.726,0.0340648,1.32431e+09,3.15206e+10
13,0.833668,796.732,0.0369359,1.28797e+09,2.90704e+10
14,0.873218,760.638,0.11258,1.22964e+09,9.53756e+09
15,0.764067,741.81,0.0222565,1.4053e+09,4.8244e+10
16,1.02482,1002.62,0.0221961,1.04774e+09,4.83752e+10
