iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.000328,0.0476,0.0002804,2.49756e+07,2.92154e+07
2,3.92e-05,0.0316,7.6e-06,2.0898e+08,1.07789e+09
3,3.44e-05,0.0285,5.9e-06,2.3814e+08,1.38847e+09
4,3.36e-05,0.0279,5.7e-06,2.4381e+08,1.43719e+09
5,3.37e-05,0.028,5.7e-06,2.43086e+08,1.43719e+09
6,3.21e-05,0.0267,5.4e-06,2.55202e+08,1.51704e+09
7,3.24e-05,0.0269,5.5e-06,2.5284e+08,1.48945e+09
8,3.19e-05,0.0265,5.4e-06,2.56803e+08,1.51704e+09
9,3.43e-05,0.0289,5.4e-06,2.38834e+08,1.51704e+09
10,3.55e-05,0.0289,6.6e-06,2.30761e+08,1.24121e+09
11,3.32e-05,0.0276,5.6e-06,2.46747e+08,1.46286e+09
12,3.27e-05,0.0273,5.4e-06,2.5052e+08,1.51704e+09
13,3.41e-05,0.0281,6e-06,2.40235e+08,1.36533e+09
14,3.24e-05,0.0269,5.5e-06,2.5284e+08,1.48945e+09
15,3.2e-05,0.0266,5.4e-06,2.56e+08,1.51704e+09
16,3.25e-05,0.0269,5.6e-06,2.52062e+08,1.46286e+09
