iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.181076,1.5645,0.179512,4.63264e+07,4.67301e+07
2,0.172523,1.4207,0.171103,4.8623e+07,4.90267e+07
3,0.171353,1.53,0.169823,4.89552e+07,4.93963e+07
4,0.171367,1.6862,0.16968,4.89512e+07,4.94377e+07
5,0.17222,1.6054,0.170614,4.87088e+07,4.91671e+07
6,0.173253,1.5102,0.171743,4.84183e+07,4.8844e+07
7,0.175107,1.4385,0.173669,4.79056e+07,4.83024e+07
8,0.174275,1.5002,0.172774,4.81344e+07,4.85524e+07
9,0.172223,1.4761,0.170746,4.8708e+07,4.9129e+07
10,0.17174,1.4887,0.170251,4.88449e+07,4.9272e+07
11,0.172679,1.5062,0.171173,4.85791e+07,4.90066e+07
12,0.172966,1.4992,0.171467,4.84985e+07,4.89225e+07
13,0.173727,1.5137,0.172213,4.82862e+07,4.87107e+07
14,0.172954,1.4607,0.171493,4.8502e+07,4.89151e+07
15,0.172903,1.4108,0.171492,4.85162e+07,4.89154e+07
16,0.172206,1.3984,0.170808,4.87126e+07,4.91114e+07
