iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.00016,2.0929,-0.0019329,5.24288e+10,-4.33991e+09
2,6.7e-06,1.4154,-0.0014087,1.25203e+12,-5.95486e+09
3,5.6e-06,1.4562,-0.0014506,1.49797e+12,-5.78285e+09
4,5.3e-06,1.4574,-0.0014521,1.58276e+12,-5.77688e+09
5,5.4e-06,1.4344,-0.001429,1.55345e+12,-5.87026e+09
6,5.2e-06,1.4408,-0.0014356,1.61319e+12,-5.84328e+09
7,5.1e-06,1.4737,-0.0014686,1.64483e+12,-5.71198e+09
8,5.3e-06,1.4328,-0.0014275,1.58276e+12,-5.87643e+09
9,5.2e-06,1.4327,-0.0014275,1.61319e+12,-5.87643e+09
10,5.3e-06,1.4592,-0.0014539,1.58276e+12,-5.76973e+09
11,5.5e-06,1.4518,-0.0014463,1.5252e+12,-5.80005e+09
12,5.2e-06,1.4391,-0.0014339,1.61319e+12,-5.8502e+09
13,5e-06,1.4568,-0.0014518,1.67772e+12,-5.77807e+09
14,5.2e-06,1.4594,-0.0014542,1.61319e+12,-5.76854e+09
15,5.3e-06,1.435,-0.0014297,1.58276e+12,-5.86739e+09
16,5.1e-06,1.488,-0.0014829,1.64483e+12,-5.65689e+09
