iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0001704,2.2096,-0.0020392,4.92289e+10,-4.11368e+09
2,7.3e-06,1.4389,-0.0014316,1.14912e+12,-5.8596e+09
3,6.2e-06,1.4471,-0.0014409,1.353e+12,-5.82178e+09
4,5.5e-06,1.4447,-0.0014392,1.5252e+12,-5.82866e+09
5,5.4e-06,1.4656,-0.0014602,1.55345e+12,-5.74483e+09
6,5.6e-06,1.4167,-0.0014111,1.49797e+12,-5.94473e+09
7,5.4e-06,1.4435,-0.0014381,1.55345e+12,-5.83312e+09
8,5.9e-06,1.5012,-0.0014953,1.4218e+12,-5.60998e+09
9,5.8e-06,1.4306,-0.0014248,1.44631e+12,-5.88757e+09
10,5.5e-06,1.4645,-0.001459,1.5252e+12,-5.74956e+09
11,5.7e-06,1.5947,-0.001589,1.47169e+12,-5.27917e+09
12,5.7e-06,1.4501,-0.0014444,1.47169e+12,-5.80768e+09
13,5.6e-06,1.4333,-0.0014277,1.49797e+12,-5.87561e+09
14,5.2e-06,1.4272,-0.001422,1.61319e+12,-5.89916e+09
15,5.6e-06,1.4328,-0.0014272,1.49797e+12,-5.87767e+09
16,5.5e-06,1.4551,-0.0014496,1.5252e+12,-5.78684e+09
