iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,0.0021508,1.9476,0.0002032,3.90023e+09,4.12825e+10
2,0.0021555,2.1481,7.4e-06,3.89172e+09,1.1336e+12
3,0.0015227,1.5058,1.69e-05,5.50904e+09,4.96367e+11
4,0.0014274,1.4186,8.8e-06,5.87684e+09,9.53251e+11
5,0.001424,1.418,6e-06,5.89088e+09,1.3981e+12
6,0.0018575,1.8516,5.9e-06,4.51607e+09,1.4218e+12
7,0.0014724,1.4618,1.06e-05,5.69723e+09,7.91378e+11
8,0.0014207,1.4145,6.2e-06,5.90456e+09,1.353e+12
9,0.0014146,1.4083,6.3e-06,5.93002e+09,1.33153e+12
10,0.001553,1.5472,5.8e-06,5.40155e+09,1.44631e+12
11,0.0020282,2.0201,8.1e-06,4.13599e+09,1.03563e+12
12,0.0014335,1.422,1.15e-05,5.85184e+09,7.29444e+11
13,0.0014285,1.4214,7.1e-06,5.87232e+09,1.18149e+12
14,0.0014198,1.4136,6.2e-06,5.9083e+09,1.353e+12
15,0.001665,1.6571,7.9e-06,5.0382e+09,1.06185e+12
16,0.0015121,1.5031,9e-06,5.54765e+09,9.32068e+11
