iterationNumber,iterationDuration(s),timeToCopy(s),timeProcessingOnly(s),cellsPerSecond,cellsPerSecondNoCopy
1,7.16329,10.7952,7.1525,9.36844e+06,9.38258e+06
2,7.18069,10.6813,7.17,9.34575e+06,9.35967e+06
3,7.17917,10.7998,7.16837,9.34771e+06,9.3618e+06
4,7.18034,10.9041,7.16943,9.3462e+06,9.36041e+06
5,7.19056,10.7653,7.17979,9.33292e+06,9.34691e+06
6,7.18299,10.9273,7.17206,9.34275e+06,9.35698e+06
7,7.2103,10.4933,7.19981,9.30736e+06,9.32092e+06
8,7.19178,10.7686,7.18102,9.33132e+06,9.34532e+06
9,7.19681,10.4727,7.18634,9.32481e+06,9.3384e+06
10,7.18122,10.5275,7.17069,9.34506e+06,9.35878e+06
11,7.1894,10.7344,7.17867,9.33442e+06,9.34837e+06
12,7.19639,10.4735,7.18591,9.32536e+06,9.33895e+06
13,7.18526,10.7416,7.17451,9.3398e+06,9.35379e+06
14,7.19221,10.7544,7.18146,9.33077e+06,9.34474e+06
15,7.19429,10.4989,7.18379,9.32807e+06,9.3417e+06
16,7.20111,10.7634,7.19035,9.31924e+06,9.33319e+06
